.github	/data/data/com.termux/files/home/AIFT/.github	main	dirty	missing	https://github.com/AIFreedomTrustFederation/.github.git
AI-Freedom-Trust	/data/data/com.termux/files/home/AIFT/AI-Freedom-Trust	main	dirty	valid	https://github.com/AIFreedomTrustFederation/AI-Freedom-Trust.git
AIFT-Forge	/data/data/com.termux/files/home/AIFT/AIFT-Forge	main	dirty	valid	https://github.com/AIFreedomTrustFederation/AIFT-Forge.git
AIFT-Genesis	/data/data/com.termux/files/home/AIFT/AIFT-Genesis	main	dirty	valid	https://github.com/AIFreedomTrustFederation/AIFT-Genesis.git
AIFT-OS	/data/data/com.termux/files/home/AIFT/AIFT-OS	phase3-recursive-discovery-engine	dirty	valid	https://github.com/AIFreedomTrustFederation/AIFT-OS.git
Aether_Coin_biozonecurrency	/data/data/com.termux/files/home/AIFT/Aether_Coin_biozonecurrency	main	dirty	valid	https://github.com/AIFreedomTrustFederation/Aether_Coin_biozonecurrency.git
AetherianGovernance	/data/data/com.termux/files/home/AIFT/AetherianGovernance	main	dirty	valid	https://github.com/AIFreedomTrustFederation/AetherianGovernance.git
BookSmith-Federation-OS	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS	main	dirty	valid	https://github.com/AIFreedomTrustFederation/BookSmith-Federation-OS.git
OpenMontage	/data/data/com.termux/files/home/AIFT/OpenMontage	main	dirty	valid	https://github.com/AIFreedomTrustFederation/OpenMontage.git
TheMindofAll	/data/data/com.termux/files/home/AIFT/TheMindofAll	main	dirty	valid	https://github.com/AIFreedomTrustFederation/TheMindofAll.git
VPS	/data/data/com.termux/files/home/AIFT/VPS	main	dirty	valid	https://github.com/AIFreedomTrustFederation/VPS.git
aifreedomtrustfederation.github.io	/data/data/com.termux/files/home/AIFT/aifreedomtrustfederation.github.io	main	dirty	valid	https://github.com/AIFreedomTrustFederation/aifreedomtrustfederation.github.io.git
biozone-harmony-boost	/data/data/com.termux/files/home/AIFT/biozone-harmony-boost	main	dirty	valid	https://github.com/AIFreedomTrustFederation/biozone-harmony-boost.git
booksmith-ai	/data/data/com.termux/files/home/AIFT/booksmith-ai	main	dirty	valid	https://github.com/AIFreedomTrustFederation/booksmith-ai.git
c-848263	/data/data/com.termux/files/home/AIFT/c-848263	main	dirty	valid	https://github.com/AIFreedomTrustFederation/c-848263.git
capital-city-provisions	/data/data/com.termux/files/home/AIFT/capital-city-provisions	main	dirty	valid	https://github.com/AIFreedomTrustFederation/capital-city-provisions.git
chktex	/data/data/com.termux/files/home/AIFT/chktex	master	dirty	valid	https://github.com/AIFreedomTrustFederation/chktex.git
mobox	/data/data/com.termux/files/home/AIFT/mobox	main	dirty	valid	https://github.com/AIFreedomTrustFederation/mobox.git
name	path	branch	state	manifest	remote
repo-brainstorm-backend-forge	/data/data/com.termux/files/home/AIFT/repo-brainstorm-backend-forge	main	dirty	valid	https://github.com/AIFreedomTrustFederation/repo-brainstorm-backend-forge.git
tastycutz	/data/data/com.termux/files/home/AIFT/tastycutz	main	dirty	valid	https://github.com/AIFreedomTrustFederation/tastycutz.git
www.aifreedomtrust.com	/data/data/com.termux/files/home/AIFT/www.aifreedomtrust.com	main	dirty	valid	https://github.com/AIFreedomTrustFederation/www.aifreedomtrust.com.git
